TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
          11, 2.16719172e-01, 5.21419662e-02, -4.11464813e-03, 1.82871649e-01, -9.33813722e-02, -2.87415535e-02, 4.04987856e-02, -4.11464813e-03, 2.19193596e-01, 4.15632911e+00, 3.06000000e+00, 6.94051855e-310, -1.66099515e+04, 1.98477529e+06, -2.29871228e+00, 4.14802401e-02, -5.08533682e-02, 1.08323498e-01, 3.15182844e+00, -6.3920637398, 14.0000000000, 25.0000000000, 0.4993082802
          12, 2.20030902e-01, 5.15784402e-02, -3.26828431e-03, 1.85569002e-01, -9.35495944e-02, -2.70352640e-02, 3.97592773e-02, -3.26828431e-03, 2.22470522e-01, 4.26594720e+00, 3.06000000e+00, 6.94051855e-310, -1.58543737e+04, 1.93307183e+06, -2.29426352e+00, 2.18885081e-02, -3.93051317e-02, 9.95421589e-02, 3.15223143e+00, -6.3703003999, 13.0000000000, 25.0000000000, 0.5406431993
          13, 2.23333771e-01, 5.02946574e-02, -2.10118279e-03, 1.88242707e-01, -9.40225910e-02, -2.46976315e-02, 3.83010122e-02, -2.10118279e-03, 2.25700152e-01, 4.44050687e+00, 3.06000000e+00, 6.94051855e-310, -1.51676573e+04, 1.88751778e+06, -2.28866292e+00, 7.20686847e-03, -3.70328065e-02, 9.17604047e-02, 3.15726179e+00, -6.3490565837, 14.0000000000, 25.0000000000, 0.5844312310
          14, 2.26575981e-01, 4.86519557e-02, -8.01768558e-04, 1.90882371e-01, -9.46962732e-02, -2.20574508e-02, 3.64875781e-02, -8.01768558e-04, 2.28850049e-01, 4.65707859e+00, 3.06000000e+00, 6.94051855e-310, -1.45338693e+04, 1.84731407e+06, -2.27951912e+00, 1.16879818e-02, -2.95608863e-02, 9.36618565e-02, 3.16650487e+00, -6.3311354578, 14.0000000000, 25.0000000000, 0.6280947487
          15, 2.29783423e-01, 4.69230006e-02, 4.89444432e-04, 1.93534479e-01, -9.55379108e-02, -1.93654414e-02, 3.45898695e-02, 4.89444432e-04, 2.31960622e-01, 4.89703173e+00, 3.06000000e+00, 6.94051855e-310, -1.39493964e+04, 1.81184395e+06, -2.26602789e+00, 2.78219789e-02, -1.41794110e-02, 1.00230852e-01, 3.18008499e+00, -6.3158827325, 14.0000000000, 25.0000000000, 0.6713767489
          16, 2.32964946e-01, 4.52690129e-02, 1.69093527e-03, 1.96186640e-01, -9.64912215e-02, -1.67811851e-02, 3.27684050e-02, 1.69093527e-03, 2.35049317e-01, 5.14623428e+00, 3.06000000e+00, 6.94051855e-310, -1.34143078e+04, 1.78039842e+06, -2.25111795e+00, 4.01786052e-02, 2.32289429e-03, 1.04767203e-01, 3.19433522e+00, -6.2998395236, 14.0000000000, 25.0000000000, 0.7148582498
          17, 2.36154781e-01, 4.37717630e-02, 2.76573629e-03, 1.98850146e-01, -9.75452809e-02, -1.43912800e-02, 3.11030111e-02, 2.76573629e-03, 2.38154677e-01, 5.39513980e+00, 3.06000000e+00, 6.94051855e-310, -1.29251118e+04, 1.75228170e+06, -2.23680820e+00, 4.59550627e-02, 1.15900537e-02, 1.02686252e-01, 3.20753469e+00, -6.2792389765, 14.0000000000, 25.0000000000, 0.7585524480
          18, 2.39405236e-01, 4.24347979e-02, 3.71677924e-03, 2.01533213e-01, -9.87103199e-02, -1.22001006e-02, 2.95944376e-02, 3.71677924e-03, 2.41329129e-01, 5.64171971e+00, 3.06000000e+00, 6.94051855e-310, -1.24818190e+04, 1.72691548e+06, -2.22677364e+00, 4.45918697e-02, 1.61449429e-02, 9.55867430e-02, 3.21504197e+00, -6.2544951918, 14.0000000000, 25.0000000000, 0.8020681143
          19, 2.42718214e-01, 4.12212771e-02, 4.56560202e-03, 2.04244626e-01, -9.99893179e-02, -1.01706923e-02, 2.82057947e-02, 4.56560202e-03, 2.44572603e-01, 5.88817792e+00, 3.06000000e+00, 6.94051855e-310, -1.20825884e+04, 1.70371324e+06, -2.21863180e+00, 3.71836893e-02, 1.64874176e-02, 8.07515238e-02, 3.22141300e+00, -6.2286386078, 13.0000000000, 25.0000000000, 0.8438629468
          20, 2.46110377e-01, 4.00941806e-02, 5.33379186e-03, 2.07004946e-01, -1.01409264e-01, -8.26688961e-03, 2.68992257e-02, 5.33379186e-03, 2.47899764e-01, 6.13830670e+00, 3.06000000e+00, 6.94051855e-310, -1.17246973e+04, 1.68209000e+06, -2.21366366e+00, 3.55712302e-02, 1.54438857e-02, 6.38665249e-02, 3.22494643e+00, -6.2045282012, 14.0000000000, 25.0000000000, 0.8870388468
