"PointID"	"x"	"y"	"Temperature"	"Heat_Flux"
0	1.000000000000000e+01	1.000000000000000e-10	3.418105571152209e+02	-2.334020590380149e+00	
1	1.000006168376073e+01	7.853658754898123e-03	3.418100120795902e+02	-2.334330627455196e+00	
2	1.000024671982021e+01	1.570537963701579e-02	3.418090451030015e+02	-2.334941405190511e+00	
3	1.000055506252358e+01	2.355322545171365e-02	3.418076571152942e+02	-2.335848977616125e+00	
4	1.000098663579189e+01	3.139525986046725e-02	3.418058505234425e+02	-2.337049345975883e+00	
5	1.000154133314089e+01	3.922954795862962e-02	3.418036294395363e+02	-2.338539419870161e+00	
6	1.000221901770731e+01	4.705415675283998e-02	3.418009997350705e+02	-2.340317662041301e+00	
7	1.000301952228262e+01	5.486715563796100e-02	3.417979688178388e+02	-2.342383357880418e+00	
8	1.000394264935429e+01	6.266661687342666e-02	3.417945452251753e+02	-2.344735069234527e+00	
9	1.000498817115454e+01	7.045061605888349e-02	3.417907382487223e+02	-2.347369774700213e+00	
10	1.000615582971651e+01	7.821723260900737e-02	3.417865576728793e+02	-2.350282550889176e+00	
11	1.000744533693791e+01	8.596455022737950e-02	3.417820136383785e+02	-2.353466274893588e+00	
12	1.000885637465215e+01	9.369065737930359e-02	3.417771166667279e+02	-2.356911818236790e+00	
13	1.001038859470676e+01	1.013936477634486e-01	3.417718778233832e+02	-2.360608552575006e+00	
14	1.001204161904939e+01	1.090716207822001e-01	3.417663089661396e+02	-2.364545203240661e+00	
15	1.001381503982100e+01	1.167226820106041e-01	3.417604229722191e+02	-2.368710165767994e+00	
16	1.001570841945657e+01	1.243449436637884e-01	3.417542339378002e+02	-2.373091321410487e+00	
17	1.001772129079300e+01	1.319365250627447e-01	3.417477574490700e+02	-2.377677967028902e+00	
18	1.001985315718441e+01	1.394955530983587e-01	3.417410106161413e+02	-2.382461358594865e+00	
19	1.002210349262465e+01	1.470201626935712e-01	3.417340117849949e+02	-2.387433321222966e+00	
20	1.002447174187714e+01	1.545084972635583e-01	3.417267801459154e+02	-2.392584970390601e+00	
21	1.002695732061182e+01	1.619587091738155e-01	3.417193353998576e+02	-2.397905757317533e+00	
22	1.002955961554931e+01	1.693689601960345e-01	3.417116976053287e+02	-2.403383221224327e+00	
23	1.003227798461228e+01	1.767374219616578e-01	3.417038872373323e+02	-2.409004020984039e+00	
24	1.003511175708385e+01	1.840622764130020e-01	3.416959252896628e+02	0.000000000000000e+00	
25	1.003806023377306e+01	1.913417162518359e-01	3.416878334634906e+02	0.000000000000000e+00	
26	1.004112268718740e+01	1.985739453853042e-01	3.416796342985331e+02	-2.426586270261128e+00	
