"PointID"	"x"	"y"	"Temperature"	"Heat_Flux"
0	0.000000000000000e+00	1.000000000000000e-10	3.307602513876374e+02	-5.856750172533296e+00	
1	6.168376072474002e-05	7.853658754898123e-03	3.307608601450082e+02	-5.856643445648605e+00	
2	2.467198202125154e-04	1.570537963701579e-02	3.307626484980167e+02	-5.856213669403735e+00	
3	5.550625235843376e-04	2.355322545171365e-02	3.307656146011524e+02	-5.855454922153935e+00	
4	9.866357918920654e-04	3.139525986046725e-02	3.307697575111789e+02	-5.854362503263544e+00	
5	1.541333140889611e-03	3.922954795862962e-02	3.307750776137111e+02	-5.852934749988052e+00	
6	2.219017707306148e-03	4.705415675283998e-02	3.307815767152110e+02	-5.851174298728562e+00	
7	3.019522282615483e-03	5.486715563796100e-02	3.307892575924431e+02	-5.849086680300358e+00	
8	3.942649354291727e-03	6.266661687342666e-02	3.307981231854276e+02	-5.846677237501626e+00	
9	4.988171154543197e-03	7.045061605888349e-02	3.308081758661376e+02	-5.843949597350887e+00	
10	6.155829716510242e-03	7.821723260900737e-02	3.308194169217836e+02	-5.840904986919134e+00	
11	7.445336937914715e-03	8.596455022737950e-02	3.308318462808219e+02	-5.837541495160365e+00	
12	8.856374652145227e-03	9.369065737930359e-02	3.308454625795170e+02	-5.833854410555146e+00	
13	1.038859470675962e-02	1.013936477634486e-01	3.308602635224105e+02	-5.829837097094861e+00	
14	1.204161904938661e-02	1.090716207822001e-01	3.308762464462819e+02	-5.825482616193142e+00	
15	1.381503982100457e-02	1.167226820106041e-01	3.308934088789776e+02	-5.820784248385885e+00	
16	1.570841945657442e-02	1.243449436637884e-01	3.309117490947930e+02	-5.815735364786327e+00	
17	1.772129079300239e-02	1.319365250627447e-01	3.309312668153451e+02	-5.810333534929646e+00	
18	1.985315718440578e-02	1.394955530983587e-01	3.309519633835978e+02	-5.804581566109563e+00	
19	2.210349262465222e-02	1.470201626935712e-01	3.309738412261868e+02	-5.798484246128903e+00	
20	2.447174187714457e-02	1.545084972635583e-01	3.309969030886029e+02	-5.792045201114536e+00	
21	2.695732061181683e-02	1.619587091738155e-01	3.310211514359885e+02	-5.785264691634323e+00	
22	2.955961554930886e-02	1.693689601960345e-01	3.310465882858515e+02	-5.778139209841840e+00	
23	3.227798461228393e-02	1.767374219616578e-01	3.310732155141604e+02	-5.770663766068622e+00	
24	3.511175708385172e-02	1.840622764130020e-01	3.311010352618047e+02	0.000000000000000e+00	
25	3.806023377305784e-02	1.913417162518359e-01	3.311300504408843e+02	0.000000000000000e+00	
26	4.112268718739837e-02	1.985739453853042e-01	3.311602650321485e+02	-5.746087067580195e+00	
27	4.429836171231788e-02	2.057571793690869e-01	3.311916841663335e+02	-5.737170487403461e+00	
28	4.758647379764636e-02	2.128896458476839e-01	3.312243138903004e+02	-5.727893811605221e+00	
29	5.098621215092786e-02	2.199695849917176e-01	3.312581606398803e+02	-5.718259503601908e+00	
30	5.449673793759541e-02	2.269952499321439e-01	3.312932307539563e+02	-5.708268956098236e+00	
31	5.811718498794044e-02	2.339649071912665e-01	3.313295301561060e+02	-5.697922607805100e+00	
32	6.184666001082745e-02	2.408768371104465e-01	3.313670641388078e+02	-5.687220586543903e+00	
33	6.568424281410007e-02	2.477293342744021e-01	3.314058371052726e+02	-5.676162480631612e+00	
34	6.962898653162497e-02	2.545207079319946e-01	3.314458522753360e+02	-5.664746208999023e+00	
35	7.367991785691630e-02	2.612492824133960e-01	3.314871115158836e+02	-5.652967098517379e+00	
36	7.783603728328542e-02	2.679133975435353e-01	3.315296154338007e+02	-5.640817789931161e+00	
37	8.209631935045336e-02	2.745114090517217e-01	3.315733637699554e+02	-5.628289626756711e+00	
38	8.645971289756821e-02	2.810416889773443e-01	3.316183559095134e+02	-5.615373820205805e+00	
39	9.092514132256357e-02	2.875026260715464e-01	3.316645914032970e+02	-5.602062885405771e+00	
40	9.549150284779340e-02	2.938926261947776e-01	3.317120703388579e+02	-5.588351835905117e+00	
41	1.001576707918795e-01	3.002101127101234e-01	3.317607934016029e+02	-5.574237808438171e+00	
42	1.049224938477034e-01	3.064535268723173e-01	3.318107616926674e+02	-5.559718280484185e+00	
43	1.097847963664739e-01	3.126213282123371e-01	3.318619765894169e+02	-5.544790216057219e+00	
44	1.147433786478012e-01	3.187119949174936e-01	3.319144397677294e+02	-5.529450843411829e+00	
45	1.197970172357042e-01	3.247240242069142e-01	3.319681532335980e+02	-5.513698665931309e+00	
46	1.249444652204811e-01	3.306559327023320e-01	3.320231191723100e+02	-5.497532409962043e+00	
47	1.301844525463648e-01	3.365062567940871e-01	3.320793398065404e+02	-5.480952331429753e+00	
48	1.355156863248907e-01	3.422735530022507e-01	3.321368169579874e+02	-5.463957662508797e+00	
49	1.409368511538971e-01	3.479563983327816e-01	3.321955517298234e+02	-5.446546125245062e+00	
50	1.464466094420815e-01	3.535533906286291e-01	3.322555443319756e+02	-5.428714071127334e+00	
51	1.520436017390310e-01	3.590631489156941e-01	3.323167939897209e+02	-5.410455478133135e+00	
52	1.577264470706461e-01	3.644843137435640e-01	3.323792991430882e+02	-5.391763368140841e+00	
53	1.634937432798760e-01	3.698155475209365e-01	3.324430577255012e+02	-5.372631079511151e+00	
54	1.693440673726792e-01	3.750555348456501e-01	3.325080673595662e+02	-5.353052722587709e+00	
55	1.752759758691264e-01	3.802029828292406e-01	3.325743254293834e+02	-5.333021649386584e+00	
56	1.812880051595577e-01	3.852566214159412e-01	3.326418293554723e+02	-5.312531654931026e+00	
57	1.873786718657059e-01	3.902152036960503e-01	3.327105768883613e+02	-5.291578075905100e+00	
58	1.935464732066983e-01	3.950775062135873e-01	3.327805662704844e+02	-5.270157860518036e+00	
59	1.997898873698451e-01	3.998423292681625e-01	3.328517962884804e+02	-5.248270011856428e+00	
60	2.061073738861241e-01	4.045084972109851e-01	3.329242661314368e+02	-5.225914681821164e+00	
61	2.124973740102686e-01	4.090748587349369e-01	3.329979752096950e+02	-5.203093175455265e+00	
62	2.189583111053637e-01	4.135402871586401e-01	3.330729229074379e+02	-5.179808862319237e+00	
63	2.254885910318591e-01	4.179036807044491e-01	3.331491080466421e+02	-5.156066101879492e+00	
64	2.320866025408975e-01	4.221639627702973e-01	3.332265281599580e+02	-5.131867381548691e+00	
